symbols,lotSize
BANKNIFTY,25
NIFTY,75
APOLLOHOSP,500
BIOCON,2300
CUMMINSIND,1200
CADILAHC,2200
HDFCBANK,550
INFY,1200
LICHSGFIN,2000
PVR,407
BEL,7600
RAMCOCEM,850
BPCL,1800
EICHERMOT,35
GAIL,6100
GODREJCP,1000
ACC,500
GRASIM,950
HAVELLS,1000
ADANIENT,4000
ADANIPORTS,2500
AMARAJABAT,1000
AMBUJACEM,3000
APOLLOTYRE,5000
ASHOKLEY,9000
ASIANPAINT,300
HINDALCO,4300
AUROPHARMA,1300
AXISBANK,1200
BAJAJ-AUTO,250
BAJAJFINSV,125
BAJFINANCE,250
BALKRISIND,800
BANDHANBNK,1800
BANKBARODA,8200
BATAINDIA,550
BERGEPAINT,1100
BHARATFORG,1500
JINDALSTEL,5000
BHARTIARTL,1851
LT,550
LUPIN,850
BHEL,21000
BOSCHLTD,50
BRITANNIA,200
MGL,600
CANBK,5000
MINDTREE,800
MRF,10
CENTURYTEX,1400
CHOLAFIN,2500
NIITTECH,375
CIPLA,1300
COALINDIA,3700
INDUSINDBK,800
COLPAL,700
JUBLFOOD,500
CONCOR,1563
ONGC,7700
DABUR,1250
DIVISLAB,400
DLF,3300
EQUITAS,7600
PETRONET,3000
ESCORTS,1100
EXIDEIND,3600
FEDERALBNK,8500
GODREJPROP,650
SHREECEM,50
SUNTV,1500
HCLTECH,1400
TATACONSUM,2700
HDFC,300
TATAPOWER,13500
HDFCLIFE,1100
HEROMOTOCO,300
HINDPETRO,2700
UJJIVAN,2200
HINDUNILVR,300
IBULHSGFIN,3100
ICICIBANK,1375
ICICIPRULI,1500
IDFCFIRSTB,19000
IGL,1375
INDIGO,500
IOC,5700
ITC,3200
JSWSTEEL,2700
JUSTDIAL,1400
KOTAKBANK,400
L&TFH,6800
PEL,550
M&M,1400
M&MFIN,2100
MANAPPURAM,6000
MARUTI,100
MOTHERSUMI,7000
MUTHOOTFIN,750
NATIONALUM,17000
NAUKRI,250
NCC,21000
NESTLEIND,50
NMDC,6700
NTPC,5700
PAGEIND,30
PFC,6200
PIDILITIND,500
PNB,14000
MARICO,2000
RBLBANK,2600
RECLTD,6000
DRREDDY,250
RELIANCE,505
SAIL,19000
SBILIFE,750
SBIN,3000
SIEMENS,550
SUNPHARMA,1400
SRF,250
SRTRANSFIN,667
TATASTEEL,1700
TATACHEM,2000
TATAMOTORS,5700
GLENMARK,2300
TCS,300
GMRINFRA,45000
TECHM,1200
TITAN,750
TORNTPHARM,500
TVSMOTOR,1400
UBL,700
ULTRACEMCO,200
UPL,1300
VEDL,6200
VOLTAS,1000
ZEEL,3000
IDEA,140000
MCDOWELL-N,1250
POWERGRID,4000
WIPRO,3200
INFRATEL,2800
MFSL,1300
TORNTPOWER,3000
