Symbol,Avg_2015_H,Avg_2016_H,Avg_2017_H,Avg_2018_H,Avg_2019_H
ADANIPORTS,320.2,243,366.2,382.8,385.5
ASIANPAINT,831.7,995.2,1121.7,1272.6,1543.9
AXISBANK,540.8,495.6,514,575.1,733.7
BAJAJ-AUTO,2358.2,2639,2966.5,2886.7,2947.7
BAJAJFINSV,1673.5,2413,4591.2,5858,7726
BAJFINANCE,4865.7,5607.5,1484,2216.8,3398.1
BHARTIARTL,380.2,338.1,406.4,383.6,360.4
BPCL,842.2,784.2,607.2,395,407.7
BRITANNIA,2659.8,2991.7,3907.6,5430.2,2986.6
CIPLA,673,552.6,583.8,601,515.5
COALINDIA,372.3,314,279.8,280.9,224.4
DRREDDY,3649.7,3146.1,2581.4,2344.1,2734.7
EICHERMOT,17652.6,20811.9,28398.2,27623,20183.4
GAIL,369.2,387.9,430,384.2,240.5
GRASIM,3666.5,3431.1,1126.7,1031.3,811.8
HCLTECH,1129.5,801.5,867.7,990.7,1040
HDFC,1266.9,1260.4,1606.1,1878.8,2116.4
HDFCBANK,1058.5,1168.3,1635.5,2016.6,1992.2
HEROMOTOCO,2633.1,3092,3598,3415.1,2667.5
HINDALCO,114,123.6,218.9,236.9,200.9
HINDUNILVR,875.2,869.4,1093.5,1577.4,1857
ICICIBANK,307.6,248.1,295.2,318.2,425.3
INDUSINDBK,900.7,1078.1,1527.2,1788.9,1511.3
INFRATEL,409.9,373.8,377,306.7,274.8
INFY,1566.3,1112.5,972.3,1060.4,748.4
IOC,386.6,434.9,405.8,205.8,144.3
ITC,337.9,288.9,280.1,281.6,273.1
JSWSTEEL,945.3,1472.9,234.6,330.7,265.8
KOTAKBANK,1038.6,739.1,944,1206.2,1471.1
LT,1634.9,1371.8,1423.4,1345.3,1403.1
M&M,1270,1327.2,1337.6,835.9,621
MARUTI,4077,4564.9,7292,8652.7,6876
NESTLEIND,6545.2,6196,6873.7,9542.5,12280.5
NTPC,139.3,148.6,170.2,164.1,131.1
ONGC,291.4,235,181.3,173.9,147.8
POWERGRID,141.5,163,208.5,196,197.5
RELIANCE,926.4,1024.8,1208.2,1052.5,1336.8
SBIN,270.8,222.5,289.3,279.4,313.5
SHREECEM,11270,14351.4,17737.4,16975.4,19364.1
SUNPHARMA,903.7,785.3,586.8,555.6,434
TATAMOTORS,455.4,450.3,450.7,289.9,167.4
TATASTEEL,302.1,347.6,572.6,606.5,456.9
TCS,2563.6,2442.3,2499.7,2454.7,2122.8
TECHM,1050.3,482.8,454.7,677.5,750.8
TITAN,373.6,372,565,894.6,1153.9
ULTRACEMCO,2965.9,3415.9,4081.3,4055,4210.4
UPL,476.5,573.3,791.9,712.8,748.3
VEDL,156.4,144.1,279.7,259.2,164.8
WIPRO,586.9,524.7,383.1,300.8,283
ZEEL,376.3,459,529.4,536,367.8
