Symbol,Avg_2015_L,Avg_2016_L,Avg_2017_L,Avg_2018_L,Avg_2019_L
ADANIPORTS,309.8,234.4,356.8,371,375
ASIANPAINT,810.1,972.2,1099.9,1244,1513.1
AXISBANK,525.5,482.7,502.3,558.4,716
BAJAJ-AUTO,2299,2579.2,2911.4,2818.6,2882.2
BAJAJFINSV,1616.6,2327.9,4465,5689.8,7547.7
BAJFINANCE,4713.5,5429.4,1443.3,2147.7,3311.2
BHARTIARTL,368.8,328.7,395.1,370.7,348.2
BPCL,818.5,763,591.2,382.3,394.5
BRITANNIA,2584.2,2916.2,3827.8,5307.2,2917.3
CIPLA,655.2,539.1,570.5,585,503
COALINDIA,363,306.9,274.3,273.6,218.5
DRREDDY,3561.9,3080.9,2523.9,2280.2,2670.1
EICHERMOT,17121.7,20253.9,27778.1,26876.3,19568.4
GAIL,358,376.4,418.8,372.5,233.9
GRASIM,3587,3355.3,1097.1,1002.1,787.5
HCLTECH,1099,782.7,849.8,965,1016.7
HDFC,1234.4,1232.1,1577.9,1842.1,2072.8
HDFCBANK,1038.9,1150.1,1613.6,1986,1960.1
HEROMOTOCO,2575.1,3021.9,3529.9,3339.1,2593.1
HINDALCO,110.1,119.2,212.5,228.9,195.2
HINDUNILVR,853.9,852,1072.8,1544.2,1823.8
ICICIBANK,299.5,240.9,288.7,309.6,415.4
INDUSINDBK,878.1,1054.3,1499.7,1748.5,1462.4
INFRATEL,392.7,361.3,365.7,297.5,264.6
INFY,1530.1,1089.7,953.4,1037.1,733.9
IOC,375.7,422.9,395.3,200.1,140
ITC,330.1,282.3,274.6,276,268
JSWSTEEL,914.8,1435.2,227.6,320.2,256.7
KOTAKBANK,1010.9,723.4,926.7,1178.4,1440.5
LT,1596.4,1340.3,1397,1317.6,1372.2
M&M,1236,1295.3,1312.1,814.9,605.1
MARUTI,3996,4465,7176.8,8475.4,6703
NESTLEIND,6384.1,6046.7,6748.5,9319.3,12007.2
NTPC,135.8,145,166.8,160.5,127.7
ONGC,283.5,229,177.6,169.2,143.6
POWERGRID,138.2,159.1,204.3,191.8,193
RELIANCE,905.3,1004.7,1183.9,1029.2,1308
SBIN,263.4,216.1,282.6,271.5,304.8
SHREECEM,10845.7,13830.9,17251.9,16459.6,18844
SUNPHARMA,879,766.5,571.9,538.3,420.4
TATAMOTORS,441.9,437,440.3,281.3,160.4
TATASTEEL,292.6,336.5,559.7,588.5,442.2
TCS,2514.4,2392.2,2452.5,2401.2,2077.6
TECHM,1024,470.3,443.2,656.8,734.3
TITAN,362.4,360.9,549.5,869.6,1126.4
ULTRACEMCO,2886.3,3336.6,4001.8,3957.6,4105.8
UPL,459.2,554.9,772.3,691.4,727.5
VEDL,150.1,138.2,271.7,250.5,159.2
WIPRO,573.8,514.9,375.8,293.4,277.3
ZEEL,365.9,445.8,517.1,521.3,348.8
