Symbol,Jan_Avg_H,Jan_Avg_L,Feb_Avg_H,Feb_Avg_L,Mar_Avg_H,Mar_Avg_L,Apr_Avg_H,Apr_Avg_L,May_Avg_H,May_Avg_L
ADANIPORTS,387.7369565,379.7065217,370.325,361.7025,292.652381,272.1738095,270.7555556,259.3027778,306.3868421,292.9868421
ASIANPAINT,1803.454348,1774.26087,1875.485,1836.24,1763.02619,1659.271429,1757.761111,1689.511111,1612.484211,1555.984211
AXISBANK,743.7934783,728.9543478,740.4225,724.43,527.9166667,477.5833333,433.7277778,403.0138889,392.5868421,369.9289474
BAJAJ-AUTO,3126.76087,3072.686957,3136.9975,3059.66,2418.445238,2244.3,2413.366667,2292.272222,2614.757895,2501.484211
BAJAJFINSV,9582.693478,9405.786957,9645.1675,9405.12,7116.27619,6500.283333,4852.633333,4573.608333,4700.265789,4460.115789
BAJFINANCE,4232.632609,4146.65,4729.745,4623.61,3535.707143,3202.266667,2308.433333,2144.236111,2087.444737,1966.155263
BHARTIARTL,488.0956522,474.1956522,542.2125,526.54,487.1571429,449.5285714,498.5111111,475.9888889,567.8078947,545.2394737
BPCL,475.9130435,464.3717391,478.3525,462.465,364.4380952,329.8952381,359.9277778,341.1777778,330.3842105,313.4315789
BRITANNIA,3127.273913,3075.893478,3171.305,3087.37,2801.540476,2609.733333,2985.472222,2830.383333,3166.994737,3062.273684
CIPLA,475.0173913,466.25,444.76,431.6725,421.7833333,394.0047619,582.1055556,552.1305556,615.3578947,593.5921053
COALINDIA,204.5347826,198.976087,179.775,173.885,152.9928571,142.2690476,144.475,138.8,132.4789474,127.8421053
DRREDDY,3027.428261,2966.904348,3224.81,3144.1675,3032.297619,2839.883333,3864.369444,3696.652778,3915.555263,3786.247368
EICHERMOT,21204.91957,20651.22826,19196.585,18545.8375,16724.11429,15472.83571,14024.83889,13399.70833,14544.11053,13833.76579
GAIL,128.0586957,124.5304348,121.75,117.165,88.59761905,80.96904762,88.08888889,82.86944444,91.02105263,86.85789474
GRASIM,782.8152174,760.8673913,764.8625,741.165,581.1785714,530.7619048,525.7805556,498.25,527.9184211,505.7868421
HCLTECH,597.3086957,585.0086957,604.7475,591.285,500.6857143,463.9333333,478.2444444,453.1861111,532.65,515.4421053
HDFC,2461.91087,2418.382609,2381.1575,2321.1025,1927.430952,1782.711905,1705.827778,1617.108333,1683.171053,1601.160526
HDFCBANK,1267.663043,1249.506522,1229.4975,1210.03,1016.664286,945.8571429,935.3722222,892.6388889,917.2736842,882.5368421
HEROMOTOCO,2446.763043,2399.234783,2358.3125,2287.2575,1888.719048,1738.197619,1903.422222,1795.283333,2163.263158,2057.844737
HINDALCO,209.9195652,205.2652174,189.06,182.99,124.4357143,114.2285714,113.5111111,105.4388889,125.6973684,120.1394737
HINDUNILVR,2017.921739,1991.452174,2235.6175,2177.5225,2148.32381,2025.090476,2405.475,2285.444444,2049.042105,1989
ICICIBANK,538.8347826,528.5847826,538.605,526.94,414.5738095,382.4785714,352.1083333,329.9138889,330.2105263,313.7973684
INDUSINDBK,1420.804348,1376.080435,1238.11,1191.1075,715.3785714,613.702381,434.6416667,394.6694444,418.0368421,390.8210526
INFRATEL,247.3891304,238.3978261,240.19,226.5025,193.5761905,174.1880952,169.7861111,160.3805556,202.7131579,189.5368421
INFY,766.576087,753.876087,790.8675,775.9675,665.652381,623.4738095,658.5138889,633.1444444,687.5052632,668.2842105
IOC,123.476087,120.5282609,114.45,111.1775,93.55952381,87.79047619,84.56944444,81.26111111,77.55789474,74.88947368
ITC,239.5521739,236.3956522,212.09,205.935,171.9928571,160.5238095,184.9972222,178.1083333,177.6526316,170.1605263
JSWSTEEL,272.723913,265.7217391,276.4025,266.155,197.5785714,181.8357143,167.1527778,156.6722222,177.6447368,169.2789474
KOTAKBANK,1670.813043,1639.713043,1694.6425,1662.03,1450.995238,1332.535714,1254.130556,1187.408333,1221.405263,1170.573684
LT,1339.802174,1319.267391,1291.4925,1265.4225,991.4309524,927.297619,875.4277778,840.0638889,858.8263158,827.2605263
M&M,560.1891304,548.6217391,542.805,524.6275,388.1547619,358.0380952,349.3194444,327.0666667,409,387.9394737
MARUTI,7304.943478,7170.813043,6898.57,6714.4425,5630.795238,5221.840476,5131.177778,4834.608333,5128.25,4884.047368
NESTLEIND,15215.86522,14939.13696,16468.2275,16114.0425,15467.63095,14531.57143,17513.11667,16734.19444,17137.72368,16660.40263
NTPC,119.4717391,116.7586957,113.4575,110.0525,94.3952381,87.68809524,92.85277778,88.425,93.73684211,89.70526316
ONGC,123.9869565,121.0978261,104.2525,100.9575,75.17142857,68.07142857,73.26111111,69.63333333,78.85263158,75.67105263
POWERGRID,197.1217391,192.3173913,189.96,184.26,172.6952381,160.6857143,163.7972222,157.4583333,162.0131579,157.5789474
RELIANCE,1536.221739,1508.313043,1454.2675,1423.9175,1145.766667,1064.516667,1303.169444,1236.380556,1492.721053,1443.915789
SBIN,326.8565217,318.9608696,323.45,313.18,237.4833333,217.6880952,190.4694444,182.5083333,166.8368421,160.4842105
SHREECEM,23074.16957,22448.27609,24551.5475,23808.78,20646.70238,19105.29524,18575.61667,17670.04722,19723.32895,18910.67632
SUNPHARMA,450.6934783,441.4304348,418.165,404.88,380.5285714,353.7452381,466.9222222,440.4805556,467.1763158,449.9815789
TATAMOTORS,193.2130435,186.2130435,167.11,159.225,93.43095238,86.51428571,77.03611111,72.66944444,86.31842105,82.31052632
TATASTEEL,483.7021739,472.0913043,445.4325,429.405,319.4857143,294.0261905,284.3333333,270.7138889,283.8447368,273.3710526
TCS,2212.204348,2172.43913,2176.0575,2123.2825,1899.461905,1778.35,1834.186111,1758.827778,1972.421053,1916.536842
TECHM,788.1369565,773.9130435,827.3075,807.08,642.4666667,596.0380952,540.9305556,516.7416667,528.5052632,512.0973684
TITAN,1188.245652,1166.35,1288.6875,1254.97,1071.52619,995.8571429,967.7333333,916.6027778,874.8342105,846.7710526
ULTRACEMCO,4471.386957,4369.23913,4473.7725,4361.4625,3733.933333,3465.061905,3463.061111,3327.963889,3579.063158,3441.092105
