Symbol,Jan_2008_AH,Jan_2008_AW,Feb_2008_AH,Feb_2008_AW,Mar_2008_AH,Mar_2008_AW,Apr_2008_AH,Apr_2008_AW,May_2008_AH,May_2008_AW,Jun_2008_AH,Jun_2008_AW,Jul_2008_AH,Jul_2008_AW,Aug_2008_AH,Aug_2008_AW,Sep_2008_AH,Sep_2008_AW,Oct_2008_AH,Oct_2008_AW,Nov_2008_AH,Nov_2008_AW,Dec_2008_AH,Dec_2008_AW,Jan_2009_AH,Jan_2009_AW,Feb_2009_AH,Feb_2009_AW,Mar_2009_AH,Mar_2009_AW,Apr_2009_AH,Apr_2009_AW,May_2009_AH,May_2009_AW,Jun_2009_AH,Jun_2009_AW,Jul_2009_AH,Jul_2009_AW,Aug_2009_AH,Aug_2009_AW,Sep_2009_AH,Sep_2009_AW,Oct_2009_AH,Oct_2009_AW,Nov_2009_AH,Nov_2009_AW,Dec_2009_AH,Dec_2009_AW,Jan_2010_AH,Jan_2010_AW,Feb_2010_AH,Feb_2010_AW,Mar_2010_AH,Mar_2010_AW,Apr_2010_AH,Apr_2010_AW,May_2010_AH,May_2010_AW,Jun_2010_AH,Jun_2010_AW,Jul_2010_AH,Jul_2010_AW,Aug_2010_AH,Aug_2010_AW,Sep_2010_AH,Sep_2010_AW,Oct_2010_AH,Oct_2010_AW,Nov_2010_AH,Nov_2010_AW,Dec_2010_AH,Dec_2010_AW,Jan_2020_AH,Jan_2020_AW,Feb_2020_AH,Feb_2020_AW,Mar_2020_AH,Mar_2020_AW,Apr_2020_AH,Apr_2020_AW,May_2020_AH,May_2020_AW
ADANIPORTS,1069.6,995.2,785.9,736.7,597.7,545.6,660.5,625.4,841.7,787.4,641.4,601.4,541.0,495.6,593.9,570.0,529.4,501.8,410.1,376.3,330.1,312.0,304.7,287.2,381.5,353.7,372.0,357.1,323.4,305.5,392.1,367.8,515.3,472.1,650.9,613.6,563.3,538.0,571.6,549.0,550.5,532.3,539.2,520.3,543.0,523.8,567.0,549.8,625.9,594.7,657.1,634.6,736.1,710.8,763.9,744.4,704.3,674.2,706.1,686.2,742.6,724.5,798.8,775.6,628.6,611.0,172.5,166.0,155.4,147.8,149.0,143.2,387.7,379.7,370.3,361.7,292.7,272.2,270.8,259.3,306.4,293.0
ASIANPAINT,1163.6,1072.4,1181.1,1119.0,1174.5,1124.2,1230.0,1194.3,1260.1,1223.0,1262.3,1218.3,1096.7,1055.7,1242.0,1211.4,1206.6,1173.4,1035.8,973.4,954.1,922.4,888.0,858.8,905.5,863.7,805.5,777.9,762.7,732.8,874.1,841.4,1001.7,962.0,1153.9,1104.4,1265.2,1221.6,1388.3,1323.2,1391.4,1357.1,1581.7,1523.5,1701.6,1662.6,1752.6,1700.1,1848.5,1789.6,1927.4,1859.0,1996.6,1930.8,2081.8,2034.4,2123.5,2059.3,2321.9,2260.1,2473.5,2405.7,2725.9,2652.3,2844.4,2776.4,2703.3,2626.3,2704.5,2618.9,2798.8,2729.2,1803.5,1774.3,1875.5,1836.2,1763.0,1659.3,1757.8,1689.5,1612.5,1556.0
AXISBANK,1138.3,1043.1,1045.5,984.0,862.0,788.8,843.1,797.0,880.3,836.7,738.2,691.4,681.0,627.6,722.7,684.2,721.7,674.5,659.8,588.2,528.6,474.0,495.8,465.2,475.0,447.5,407.7,388.6,363.6,336.4,502.9,463.8,721.2,675.0,775.7,727.2,872.8,821.7,889.2,857.4,926.6,901.0,1004.8,966.7,995.4,960.7,1006.8,980.0,1057.7,1020.4,1077.0,1039.3,1165.5,1132.6,1215.8,1186.4,1253.7,1211.9,1249.4,1219.2,1329.8,1301.1,1352.5,1315.9,1476.1,1434.9,1541.1,1499.9,1492.3,1442.8,1350.4,1305.2,743.8,729.0,740.4,724.4,527.9,477.6,433.7,403.0,392.6,369.9
BAJAJ-AUTO,,,,,,,,,677.1,561.5,539.3,504.6,493.3,461.6,563.5,534.7,615.7,584.7,559.3,504.2,403.3,372.5,380.6,353.7,459.5,430.0,490.5,467.8,564.3,534.2,654.0,616.0,844.2,785.9,1057.5,995.2,1130.7,1074.3,1200.0,1127.2,1367.3,1306.9,1535.2,1472.0,1521.1,1470.2,1720.7,1662.7,1756.7,1700.6,1780.5,1722.4,1906.6,1859.7,2099.9,2044.0,2149.3,2086.0,2319.6,2263.8,2512.5,2450.6,2758.9,2691.8,1825.0,1776.9,1547.6,1505.5,1610.9,1564.8,1523.8,1486.2,3126.8,3072.7,3137.0,3059.7,2418.4,2244.3,2413.4,2292.3,2614.8,2501.5
BAJAUTOFIN,460.9,411.0,425.4,392.5,366.7,335.3,326.8,313.7,301.2,283.7,191.3,174.2,134.2,124.4,139.3,131.1,131.5,122.6,87.6,75.5,74.6,68.6,70.6,65.4,64.4,59.7,59.4,56.3,62.2,56.5,89.5,81.9,114.0,105.3,166.7,157.5,174.4,161.8,210.0,198.2,230.6,215.3,293.7,270.0,287.6,271.1,313.7,303.0,345.7,328.3,307.9,291.8,322.1,311.5,379.7,363.2,467.8,437.6,477.2,465.7,539.1,512.3,623.3,594.5,764.8,724.2,,,,,,,,,,,,,,,,
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.2,768.1,794.0,770.6,791.7,760.1,709.2,682.5,4232.6,4146.7,4729.7,4623.6,3535.7,3202.3,2308.4,2144.2,2087.4,1966.2
BHARTIARTL,934.0,876.3,891.4,848.9,807.5,764.5,860.4,822.8,869.0,831.0,817.2,776.3,781.1,732.7,835.5,805.8,810.3,768.7,722.7,656.3,675.7,625.9,722.0,687.8,654.9,620.9,653.1,630.7,605.3,577.1,705.1,668.5,841.8,783.7,826.9,794.2,719.7,688.2,413.5,395.4,430.3,412.7,354.6,333.9,303.0,289.9,326.6,314.9,328.7,319.4,299.2,289.6,305.5,296.2,311.8,301.8,278.5,268.3,272.1,263.4,300.4,291.8,324.7,315.7,360.7,349.6,347.3,336.1,334.3,324.3,348.7,338.9,488.1,474.2,542.2,526.5,487.2,449.5,498.5,476.0,567.8,545.2
BPCL,466.2,429.2,450.2,419.3,436.7,407.4,411.1,393.1,374.0,356.5,294.2,274.2,281.4,262.7,321.6,307.6,352.0,328.2,353.5,319.7,332.2,310.0,371.8,349.8,385.9,367.4,405.4,392.5,367.0,353.3,387.9,372.7,416.5,389.6,455.3,428.5,467.0,445.8,518.5,493.1,574.3,551.2,545.1,526.1,537.2,520.2,623.1,605.9,616.7,595.0,587.7,563.3,539.1,523.8,511.1,499.1,555.5,538.0,579.8,554.4,672.8,650.6,710.1,682.8,784.1,761.7,743.6,722.7,740.8,715.1,690.8,669.5,475.9,464.4,478.4,462.5,364.4,329.9,359.9,341.2,330.4,313.4
BRITANNIA,1547.0,1456.7,1440.3,1380.8,1367.0,1304.4,1341.8,1297.0,1426.3,1374.7,1482.1,1416.0,1376.5,1332.9,1407.9,1381.9,1404.2,1345.5,1225.2,1155.3,1157.5,1117.7,1268.5,1188.6,1330.6,1292.8,1385.2,1349.4,1340.6,1283.3,1553.7,1474.4,1697.7,1595.4,1626.9,1580.1,1691.9,1641.5,1733.1,1675.9,1636.7,1594.4,1682.5,1628.4,1680.9,1639.8,1660.8,1628.8,1674.1,1636.2,1645.5,1603.1,1637.5,1599.5,1667.2,1629.6,1676.1,1647.0,1803.0,1765.9,1950.2,1887.4,2131.2,2034.8,847.1,820.4,436.7,427.5,422.0,407.0,409.0,398.8,3127.3,3075.9,3171.3,3087.4,2801.5,2609.7,2985.5,2830.4,3167.0,3062.3
CIPLA,205.0,192.8,197.5,188.9,210.9,200.8,223.6,215.6,212.9,206.5,216.1,208.2,221.1,213.1,235.8,228.8,232.3,224.9,200.7,186.3,192.4,179.6,188.5,181.2,190.6,182.7,193.6,189.0,206.6,199.7,237.9,224.8,233.9,221.3,252.7,242.3,276.0,264.0,277.8,267.2,270.6,262.3,295.4,284.2,312.5,302.2,350.8,338.4,342.9,331.8,319.9,310.5,332.4,323.3,339.3,330.7,327.4,317.4,337.5,330.3,335.2,329.4,317.3,310.8,316.1,310.0,342.7,333.9,350.1,338.7,369.2,357.5,475.0,466.3,444.8,431.7,421.8,394.0,582.1,552.1,615.4,593.6
